"HIP"
13589
13600
13601
13631
13674
13976
13982
14023
14054
14098
14175
14230
14258
14721
14729
14803
14809
14838
15074
15134
15206
15278
15304
15374
15401
15563
15565
15572
15844
15961
16329
16374
16529
16738
16908
17332
17496
17766
17794
17928
17936
17962
18018
18253
18267
18322
18327
18347
18719
18735
18946
18975
19076
19098
19117
19148
19207
19263
19316
19441
19472
19481
19591
19767
19786
19793
19808
19834
19862
19870
19971
19981
20019
20056
20086
20130
20146
20187
20219
20237
20255
20284
20319
20400
20419
20440
20485
20527
20553
20563
20605
20614
20679
20686
20719
20745
20751
20762
20769
20826
20834
20850
20890
20917
20978
20995
21000
21099
21112
21123
21137
21256
21261
21280
21308
21436
21475
21503
21543
21588
21637
21654
21703
21723
21762
21923
21946
21983
22203
22221
22224
22265
22350
22380
22422
22449
22496
22505
22688
22715
22826
23286
23835
24030
24205
24283
24284
24289
24527
25220
25278
25873
26335
26444
26676
26828
26844
27802
