recno,Symbad_Hyades,PAM_clust,sil_width
3579,FALSE,2,0.16913452260718093
3595,FALSE,2,0.10873043470210189
3596,FALSE,2,0.09635433169116119
3800,FALSE,2,0.0590211087152102
3813,FALSE,2,0.04029852438493468
3815,FALSE,2,0.08998511319375163
3836,FALSE,2,0.07050485859805293
3839,FALSE,2,0.23968900508262772
3840,FALSE,2,0.12371745111607302
4073,FALSE,2,0.2774405403699249
4075,FALSE,2,0.06858771137938967
4081,FALSE,2,0.09066792660755423
4091,FALSE,2,0.22917178047704823
4095,FALSE,2,0.08147292146301208
4102,FALSE,2,0.06876045919231397
4173,FALSE,2,0.06432529958267012
4176,FALSE,2,0.20097252561233822
4178,FALSE,2,0.11304457587167874
4184,FALSE,2,0.20635751280396109
4227,FALSE,2,0.17413891076739307
4228,FALSE,2,0.0694136199198858
4239,FALSE,2,0.25512700496200086
4244,FALSE,2,0.20700279928306206
4246,FALSE,2,0.02978082105575929
4263,FALSE,2,0.12350462453207792
4264,FALSE,2,0.286778157164438
4273,FALSE,2,0.1068144318338482
4280,FALSE,2,0.06057276144253831
4285,FALSE,2,0.08079001098857459
4288,FALSE,2,0.026414143475242756
4291,FALSE,2,0.25396132368226176
4298,FALSE,2,0.12043540282922469
4311,FALSE,2,0.13367153844922025
4313,FALSE,2,0.119103889842061
4314,FALSE,2,0.27066264882168434
4320,FALSE,2,0.07140047740515253
4322,FALSE,2,0.05529989880173739
4324,FALSE,2,0.12390995070316722
4327,FALSE,2,0.18285657042244757
4336,FALSE,2,0.007452082889546406
4347,FALSE,2,0.21497647079671792
4350,FALSE,2,0.17273509854857788
4352,FALSE,2,0.031067859754378646
4377,FALSE,2,0.11498198271127036
4384,FALSE,2,0.09678979205150927
4392,FALSE,2,0.21241514152933036
4399,FALSE,2,0.15401258149623626
4408,FALSE,2,0.06539286147081877
4415,FALSE,2,0.2025901054836577
4429,FALSE,2,0.15122570738189275
4666,FALSE,2,0.22980678221089665
4674,FALSE,2,0.12630818975370517
4678,FALSE,2,0.008142571347183538
4679,FALSE,2,0.11230515541358015
4686,FALSE,2,0.057406159004925045
4687,FALSE,2,0.009877062545800749
4688,FALSE,2,0.13023920836794906
4689,FALSE,2,0.13271356468047463
4693,FALSE,2,0.1820662665209234
4728,FALSE,2,0.12358318973390368
4733,FALSE,2,0.2543587766384052
4734,FALSE,2,0.2927813520717533
4736,FALSE,2,0.05811117299087181
4737,FALSE,2,0.2532516485567808
4744,FALSE,2,0.04539743454228812
4747,FALSE,2,0.08399097501916176
4753,FALSE,2,0.13183728084219862
4778,FALSE,2,0.1679965805494919
4785,FALSE,2,0.027749840241964648
4791,FALSE,2,0.2525155227731823
4792,FALSE,2,0.238397521517467
4814,FALSE,2,0.11980611154503433
4826,FALSE,2,0.07716115949381115
4827,FALSE,2,0.2937752265290918
4832,FALSE,2,0.22396988355110542
4837,FALSE,2,0.08171913509655736
4850,FALSE,2,0.29505981841922974
4860,FALSE,2,0.13518944092176094
4864,FALSE,2,0.13467050833513164
4870,FALSE,2,0.19163971158980128
4873,FALSE,2,0.06972001965890023
4874,FALSE,2,0.13423964591083268
4891,FALSE,2,0.059854945349086114
4898,FALSE,2,0.12003021458205988
