HIP,Symbad_Hyades,sil_width
13589,FALSE,0.15567709888927303
13600,FALSE,0.11704647173652023
13601,FALSE,0.3440881474316774
13631,FALSE,0.2017304359415928
13674,FALSE,0.19626090454538686
13834,TRUE,0.2488217642660441
13976,FALSE,0.29049816921248206
13982,FALSE,0.08673847267820223
14023,FALSE,0.12890555969176262
14054,FALSE,0.16698675232120513
14098,FALSE,0.1541689170734143
14175,FALSE,0.1468768648754483
14230,FALSE,0.25389992628516594
14258,FALSE,0.26872871635756274
14721,FALSE,0.22084190554253977
14729,FALSE,0.25581859547961666
14803,FALSE,0.14759469780951856
14809,FALSE,0.019038134484693662
14838,FALSE,0.08313177962786114
15074,FALSE,0.1613710409575406
15134,FALSE,0.016705510849708668
15206,FALSE,0.1437079131829756
15278,FALSE,0.035674130730924215
15304,FALSE,0.25559711331627066
15310,TRUE,0.2940961431721535
15374,FALSE,0.024881384724016745
15401,FALSE,0.052950557530329054
15563,FALSE,0.2833688517386685
15565,FALSE,0.058545086704903014
15572,FALSE,0.2717364116933111
15844,FALSE,0.19317061038465458
15961,FALSE,0.12420914292814178
16329,FALSE,0.29988255131134395
16374,FALSE,0.02856151488172934
16529,FALSE,0.28287959984781497
16738,FALSE,0.010146348659165652
16908,FALSE,0.2536606581039413
17332,FALSE,0.014022625861340222
17496,FALSE,0.23139053407059776
17766,FALSE,0.1490837211229785
17794,FALSE,0.1984039902273922
17928,FALSE,0.3093757709734028
17936,FALSE,0.21704557464525137
17962,FALSE,0.16532431720022286
18018,FALSE,0.2035905789889106
18170,TRUE,0.1552155120790533
18253,FALSE,0.1508735815224954
18267,FALSE,0.22676863864052216
18322,FALSE,0.17836377293016706
18327,FALSE,0.2798867264774861
18347,FALSE,0.18868611059487256
18658,TRUE,0.1752416883579578
18719,FALSE,0.16489576479266813
18735,FALSE,0.0816638533062411
18946,FALSE,0.1393999911720548
18975,FALSE,0.1483772440375381
19076,FALSE,0.2173211102831854
19098,FALSE,0.15911439369392238
19117,FALSE,0.24867771562664173
19148,FALSE,0.2587055779518456
19207,FALSE,0.11897932416959088
19261,TRUE,0.0960263026976381
