recno,RA_J2000_24,DE_J2000,pmRA,pmDE,BT,VT,V,B-V,Symbad_Hyades
3569,-2.1462837681002296,-1.4481078938993581,-0.10164297032501343,0.2885265986110183,1.0316765250459992,0.6590684742615517,0.6069820077330138,0.7385328583104303,NA
3570,-2.1695500809376433,-1.4516528608185035,0.34687509827402946,0.5665905784825485,0.7912624260654835,0.8442335046751919,0.8309105231069441,0.07342724236297382,NA
3571,-2.1789874087636303,-1.6675379669836232,-1.068448584860728,-0.5404188508173166,0.44283619565893934,0.3031839122608688,0.2824208076413691,0.2874842222081284,NA
3572,-2.1282714956279984,-1.594643610536589,5.739058989653635,-5.183562665653244,0.2860443919759951,0.07599561253349475,0.05316437378419264,0.36011069751273606,NA
3573,-2.1756772555866233,-1.6273962238970034,-2.6930807000083723,-1.0755608498153555,-0.015925007709675455,0.2677267787774045,0.29037370059684886,-0.4158458544259591,NA
3576,-2.118092474316445,-1.579196538808873,1.7522317132176972,0.6400414410901224,0.509037179436183,0.6288642494423059,0.6270331741224043,-0.07755937734923714,NA
3579,-2.208580222927935,-1.6641939536254386,2.3652064069697225,-0.7397854778950175,-1.6047486183635131,-1.7401975581194444,-1.71537968957554,-0.1081389458985453,NA
3581,-2.21113185932363,-1.4629148907289753,0.47644698475819736,0.1731038145134021,0.04098460992339475,-0.7040613241026927,-0.7635275601587839,1.0921091196618078,NA
3583,-2.1519273833896366,-1.5888978861642393,-0.43553975472652307,0.3829634219636135,0.6042736824139724,-0.68173646227977,-0.7961708070610155,1.9865614997290717,NA
3584,-2.181439147764183,-1.6775330585444521,-1.8359128355746461,-1.7995764955185851,-0.5490171402316862,-0.19058950217550635,-0.1502841427370615,-0.6260803882024525,NA
3587,-2.125097081036988,-1.5809007129754173,-0.011939356605204869,0.24655467712097603,1.3452601324118876,0.3688452705635767,0.2623696412519785,1.6769433681673271,NA
3588,-2.145374741759822,-1.5378611029512184,0.7605084282042579,0.1258854028371045,0.5787224255174922,1.026772080756725,1.0491992418425096,-0.5419865746918571,NA
3590,-2.19068135823784,-1.4889255207624807,-1.7910610287147415,-0.9234126344139524,-0.34460708505984733,-0.22735986282502182,-0.210528606367139,-0.23619088919877407,NA
3595,-2.2205679648971284,-1.6054862626516302,0.9548662579305097,-0.36728467467089215,-0.6837419493222159,-1.6495848836617046,-1.7103896390936695,1.2755865309576544,NA
3596,-2.145349038335202,-1.6227946229610168,0.8053602350641621,-2.796409630907089,-1.1053376881141328,-1.1807627853803613,-1.1622637814757308,-0.10049405376121583,NA
3601,-2.1785581976208883,-1.5229608000802262,-0.12656064080273804,-0.6296091839836564,0.04214603069141592,-0.667290963453175,-0.7239840090745867,1.0405060977348481,NA
3603,-2.186664050897657,-1.5781731590946289,0.017961847968064684,0.3619774612185923,0.34063116807302096,-0.19452918367366906,-0.24412048265785685,0.8436501251986765,NA
3606,-2.1189701577680427,-1.545533702558263,0.5910682689557305,-0.10496016535812802,0.4277377256746559,1.0438440339154293,1.0828171079794862,-0.8152914686013012,NA
3608,-2.181518162186531,-1.6625334457386958,-0.3558032091978044,-0.2571083807595313,-0.16110260371240182,0.70240497074134145,0.7738368207205552,-1.2873635580812475,NA
3769,-2.199938652250982,-1.2373834630274478,-0.10164297032501343,0.3724704415911029,0.2651388181516038,-1.1059088369152723,-1.2195324077090697,2.045809413793357,NA
3778,-2.1673748813575386,-1.3503352375503326,2.6791690549890523,-2.7019728075544935,-0.47817047338235585,-0.4742465700432094,-0.4633708257050309,-0.09667160769255445,NA
3779,-2.2037217485883587,-1.1006267506092304,-0.31095140233790014,-0.04724877330931991,0.7750025353131789,-0.5845576519917605,-0.7085460403962986,2.126080781235291,NA
3782,-2.1509141810331345,-1.0454353019822522,2.5994325094603337,0.6033160097863354,-0.3771268665644586,-0.4151513475707712,-0.40980575256370566,-0.016400240250620583,NA
