HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,Symbad_Hyades
13510,1,0.9507436891033395,0.043334913260084006,-0.2577334516270308,0.33208207287865854,2.1604101747540563,-0.1210941026937128,FALSE
13526,0.9989209253810846,0.9222881653060422,-0.08464172597416392,-0.5070245049506397,0.27422981720212314,-0.46607974713773614,-1.0441473198108135,FALSE
13530,0.9986893319291581,0.5294834793217822,0.042342846289275905,-0.5717893303981042,-1.3519846633664554,0.27387045928355574,0.4206037946754781,FALSE
13532,0.9984855780356043,0.18637425757120982,-0.23841210644942304,-0.4248641685358807,0.3110950970723736,-0.8060568690069781,1.3544909697399627,FALSE
13533,0.9984510286435506,0.4268347065253491,-0.09555446265305322,0.8313593465484129,-0.03035747640751217,0.1605447519938084,-0.4699475485994715,FALSE
13538,0.9981991389866394,0.6253518384139565,-0.2899995889314454,-0.01700634216424383,0.27367752836511566,0.03388660855232639,-0.8123006197368,FALSE
13539,0.9981889283701686,0.797470780297229,-0.5449608004291332,-0.0012165706708536952,0.24854838628127449,-0.5927378905792182,-1.2824943946532574,FALSE
13543,0.9978297230503624,0.6982298563660327,0.0522635159973571,-0.017407777032719868,0.3387095389227485,0.8471652138081598,-0.10809335315685221,FALSE
13544,0.997786296673378,0.698013220033037,-0.20269769550033057,-0.05822032199444863,0.498873301654923,1.5804492021535836,-0.023588481167258396,FALSE
13547,0.9976206763066394,0.030756288915281413,-0.4348413666694314,-0.7903037104718847,0.18959155293072402,0.6071813630769304,-0.39844342614673833,FALSE
13557,0.996747105972673,0.548063269760276,-0.3961507548079146,-0.5676411700905187,0.1815833647941153,0.12721366161447048,-0.6649587916523801,FALSE
13571,0.9956826179487154,0.19551547614773754,-0.4526985721439777,0.1778233806694515,0.3324962895064142,-0.9127163582208582,1.2483181818556015,FALSE
13579,0.9952172013796313,0.32063680648452114,0.15742261490301823,0.2966481017383535,0.06725957553356314,-0.8793852678415208,-0.7689647879472646,FALSE
13586,0.9946789351877368,0.6167244671815638,-0.3703570135669034,-0.39515798826865517,-0.2478212059792146,0.5005218738630504,-0.19476501673592256,FALSE
13589,0.9943753464707004,0.137558522754569,0.7129801185555675,1.65818136398619,-0.9623448888576654,0.22054071467661576,0.05441601605390513,FALSE
13593,0.9940911370869635,0.9963390925811589,0.28043891928322556,0.11305855522198681,0.26207946278795813,-0.9460474486001955,-0.7061278318524387,FALSE
13600,0.9933865003605898,0.31319325227144484,0.9986954061483069,1.276282992442669,0.22272888315117392,0.33386642196636307,0.14975484599088254,FALSE
13601,0.9932891035822645,0.3882439410474111,2.924297396486874,2.4266615138721184,-0.2472689171422071,-0.6127365448068208,0.24726046751733693,FALSE
13603,0.9932156288196671,0.7757767477223901,0.24869277621736557,-0.2930597200529206,0.6412257493936057,0.5338529642423884,-0.19693180832539933,FALSE
13611,0.9927861161121704,0.6657681254256077,-0.08265759203254762,-0.6544849133041645,0.07374896936840128,-0.3727526940755915,-0.6129557935049379,FALSE
13627,0.992156808729752,0.07405538520315996,-0.6749215736049974,-0.0891308068671022,0.25144790267556383,0.42052725695264104,2.4443871392467744,FALSE
13631,0.9919957102074511,0.27136057718596523,0.846909159614664,3.484576203929258,-1.6183259550133213,0.9404922668703051,0.4422717105702455,FALSE
13632,0.992009567472659,0.862595228338157,-0.40011902269114713,-0.4596551904704691,0.16998529921695785,0.567184054621725,-0.38544267660987774,FALSE
